epoch,train_loss,train_top1,train_top3,train_top5,val_loss,val_top1,val_top3,val_top5,lr
1,1.7379828691482544,0.28125,0.59375,0.9375,1.9561787843704224,0.125,0.5,1.0,0.000299890137664303
2,1.4336011409759521,0.40625,0.84375,0.96875,1.3158518075942993,0.75,0.875,1.0,0.00029956072005697074
3,1.0991228818893433,0.78125,0.90625,0.96875,1.246679663658142,0.5,0.875,1.0,0.000299012255116077
4,0.8101853728294373,0.78125,0.90625,1.0,1.125450849533081,0.5,0.875,1.0,0.0002982455885348071
5,0.6872447431087494,0.75,1.0,1.0,1.0214654207229614,0.75,0.875,1.0,0.0002972619024574603
6,0.7191745638847351,0.875,0.9375,1.0,0.9451619982719421,0.875,0.875,1.0,0.0002960627136566689
7,0.7792315483093262,0.875,0.90625,1.0,0.952029287815094,0.875,0.875,1.0,0.0002946498711946447
8,0.5181898176670074,0.84375,1.0,1.0,0.9774386882781982,0.875,0.875,1.0,0.0002930255535720594
9,0.664032906293869,0.8125,0.9375,1.0,0.9674063920974731,0.875,1.0,1.0,0.000291192265368954
10,0.5146617293357849,0.875,1.0,1.0,0.929132342338562,0.875,1.0,1.0,0.0002891528333828583
11,0.49427422881126404,0.84375,1.0,1.0,0.8394578695297241,0.75,1.0,1.0,0.00028691040227007405
12,0.5242599248886108,0.8125,1.0,1.0,0.8034902811050415,0.75,1.0,1.0,0.00028446842969684236
13,0.4570072889328003,0.9375,1.0,1.0,0.7614306211471558,0.75,1.0,1.0,0.0002818306810078736
14,0.3658740073442459,0.96875,1.0,1.0,0.8228081464767456,0.75,1.0,1.0,0.0002790012234204581
15,0.37914225459098816,1.0,1.0,1.0,0.9312478303909302,0.75,1.0,1.0,0.0002759844197531127
16,0.3791773021221161,0.9375,1.0,1.0,0.9754286408424377,0.75,1.0,1.0,0.00027278492169843
17,0.3391002118587494,0.96875,1.0,1.0,0.9973948001861572,0.75,1.0,1.0,0.0002694076626505061
18,0.3199029564857483,0.96875,1.0,1.0,0.953578531742096,0.75,1.0,1.0,0.0002658578500980044
19,0.334723636507988,0.96875,1.0,1.0,0.9237363338470459,0.75,1.0,1.0,0.0002621409575945852
20,0.3331954628229141,1.0,1.0,1.0,0.9178553819656372,0.75,1.0,1.0,0.00025826271631908303
21,0.2753191590309143,1.0,1.0,1.0,0.9757624268531799,0.75,0.875,1.0,0.0002542291062384442
